出口国,经度,纬度,进口国,经度,纬度,贸易量（万吨）
乌克兰,31.016667,46.600000,荷兰,4.073153,51.973264,163 
乌克兰,31.016667,46.600000,罗马尼亚,28.650000,44.166700,28 
乌克兰,31.016667,46.600000,俄罗斯,39.932867,43.411539,12 
乌克兰,31.016667,46.600000,沙特阿拉伯,49.683333,27.016667,5 
乌克兰,31.016667,46.600000,斯洛文尼亚,13.733333,45.550000,30 
乌克兰,31.016667,46.600000,泰国,100.824942,13.139208,5 
乌克兰,31.016667,46.600000,土耳其,36.188403,36.599597,74 
乌克兰,31.016667,46.600000,特尼尼达和多巴哥,-61.479928,10.316594,9 
乌克兰,31.016667,46.600000,中国台湾,120.321111,22.563611,17 
乌克兰,31.016667,46.600000,美国,-118.266667,33.716667,8 
委内瑞拉,-62.717861,8.340453,中国,118.500000,38.933333,81 
委内瑞拉,-62.717861,8.340453,德国,9.933333,53.533333,7 
委内瑞拉,-62.717861,8.340453,阿尔及利亚,-0.650000,35.716700,5 
委内瑞拉,-62.717861,8.340453,西班牙,-5.700000,43.566667,6 
委内瑞拉,-62.717861,8.340453,科特迪瓦,-4.013392,5.270269,10 
委内瑞拉,-62.717861,8.340453,荷兰,4.073153,51.973264,11 
委内瑞拉,-62.717861,8.340453,俄罗斯,39.932867,43.411539,5 
委内瑞拉,-62.717861,8.340453,特尼尼达和多巴哥,-61.479928,10.316594,103 
委内瑞拉,-62.717861,8.340453,美国,-118.266667,33.716667,21 
南非,17.966667,-33.033333,中国,118.500000,38.933333,3152 
南非,17.966667,-33.033333,德国,9.933333,53.533333,222 
南非,17.966667,-33.033333,埃及,29.870714,31.189086,51 
南非,17.966667,-33.033333,法国,2.343039,51.054903,7 
南非,17.966667,-33.033333,印度,80.126953,14.250783,167 
南非,17.966667,-33.033333,意大利,17.200000,40.450000,138 
南非,17.966667,-33.033333,日本,131.600000,33.233333,347 
南非,17.966667,-33.033333,韩国,127.750000,34.900000,430 
南非,17.966667,-33.033333,荷兰,4.073153,51.973264,292 
南非,17.966667,-33.033333,波兰,18.719658,54.405214,19 
南非,17.966667,-33.033333,罗马尼亚,28.650000,44.166700,7 
南非,17.966667,-33.033333,沙特阿拉伯,49.683333,27.016667,5 
南非,17.966667,-33.033333,新加坡,103.833333,1.366667,18 
南非,17.966667,-33.033333,斯洛文尼亚,13.733333,45.550000,62 
南非,17.966667,-33.033333,土耳其,36.188403,36.599597,84 
南非,17.966667,-33.033333,英国,-3.805300,51.574417,68 
南非,17.966667,-33.033333,美国,-118.266667,33.716667,11 
南非,17.966667,-33.033333,越南,106.683300,20.866700,25 
